category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0090066	1.43457639318384e-05	0.999993831704859	43	234	regulation of anatomical structure size	BP	0.00631117457634829	1
GO:0009617	1.44680602699977e-05	0.999993927661446	39	284	response to bacterium	BP	0.00631117457634829	1
GO:0034637	1.50015456468848e-05	0.999998263160086	10	23	cellular carbohydrate biosynthetic process	BP	0.00631823719072591	1
GO:0042742	1.58273667171421e-05	0.999993511739351	37	255	defense response to bacterium	BP	0.0064438485694391	1
GO:0006952	1.65818252918064e-05	0.999991709009664	60	469	defense response	BP	0.00653323916497172	1
GO:0043297	2.46774555751614e-05	0.999995074419351	14	47	apical junction assembly	BP	0.00941907632484441	1
GO:0060857	2.61233335168393e-05	0.999997787067068	8	16	establishment of glial blood-brain barrier	BP	0.00966879986589924	1
GO:0009611	2.74957903746375e-05	0.999990634955683	26	126	response to wounding	BP	0.00987745834223006	1
GO:0044419	4.25676006945556e-05	0.999977329484424	64	535	biological process involved in interspecies interaction between organisms	BP	0.0148548764252372	1
GO:0046364	4.856237513772e-05	0.999997346350835	6	11	monosaccharide biosynthetic process	BP	0.0164761347203364	1
GO:0035150	7.34597063282518e-05	0.999982535076535	15	53	regulation of tube size	BP	0.0242496446781964	1
GO:0050896	7.76318756587491e-05	0.999943065439859	298	3001	response to stimulus	BP	0.0246647588724855	1
GO:0007275	7.87559846100323e-05	0.999943267998066	249	2287	multicellular organism development	BP	0.0246647588724855	1
GO:0006575	8.41663481747501e-05	0.999977388567846	16	89	cellular modified amino acid metabolic process	BP	0.02570019441516	1
GO:0006959	8.67287197917021e-05	0.99997078828347	22	126	humoral immune response	BP	0.025836697159411	1
GO:0009605	8.91987178610407e-05	0.999942365471206	123	1043	response to external stimulus	BP	0.0259398366655893	1
GO:0002376	9.41923206899443e-05	0.999949061229814	61	464	immune system process	BP	0.0267550001141158	1
GO:0035151	9.84327222268914e-05	0.999977339850855	14	49	regulation of tube size, open tracheal system	BP	0.0272991474401301	1
GO:0045216	0.000100578159063849	0.999969706949273	19	82	cell-cell junction organization	BP	0.0272991474401301	1
GO:0006082	0.00010606565661078	0.999945945514547	50	388	organic acid metabolic process	BP	0.0281627376053058	1
GO:0003824	0.000112175198654088	0.999916385641057	329	3688	catalytic activity	MF	0.0291512314119368	1
GO:0016053	0.000127038522910404	0.999957172723473	21	123	organic acid biosynthetic process	BP	0.0316662963026056	1
GO:0046394	0.000127038522910404	0.999957172723473	21	123	carboxylic acid biosynthetic process	BP	0.0316662963026056	1
GO:0043277	0.000136284184858132	0.999980519192817	9	24	apoptotic cell clearance	BP	0.0330033504741114	1
GO:0009888	0.000137806686931364	0.999908601140359	132	1046	tissue development	BP	0.0330033504741114	1
GO:0005918	0.000157113763519091	0.999970151489583	11	35	septate junction	CC	0.0369036059158112	1
GO:0006091	0.000163854006381922	0.999930669765387	30	229	generation of precursor metabolites and energy	BP	0.0377606195084677	1
GO:0035152	0.000247721824587276	0.999916545932082	20	91	regulation of tube architecture, open tracheal system	BP	0.0560310067686849	1
GO:0007043	0.000263515916984695	0.999927467587462	15	62	cell-cell junction assembly	BP	0.0575234844875999	1
GO:0019752	0.000267671333865282	0.999859361166959	48	383	carboxylic acid metabolic process	BP	0.0575234844875999	1
GO:0110165	0.000268449207122416	0.999809295163716	740	9780	cellular anatomical entity	CC	0.0575234844875999	1
GO:0043436	0.000291656531020229	0.999846130808172	48	384	oxoacid metabolic process	BP	0.0614188425841566	1
GO:0032502	0.000302499110135126	0.999771967076437	293	2892	developmental process	BP	0.0626224429015326	1
GO:0009135	0.000339195890000968	0.999941533741227	9	30	purine nucleoside diphosphate metabolic process	BP	0.0668215903301907	1
GO:0009179	0.000339195890000968	0.999941533741227	9	30	purine ribonucleoside diphosphate metabolic process	BP	0.0668215903301907	1
GO:0046031	0.000339195890000968	0.999941533741227	9	30	ADP metabolic process	BP	0.0668215903301907	1
GO:0030414	0.000348050227701503	0.999901500200338	14	100	peptidase inhibitor activity	MF	0.0674775473197802	1
GO:0014009	0.000356709091558278	0.999959347387679	7	16	glial cell proliferation	BP	0.0680757006920751	1
GO:0009132	0.000367081684114275	0.999926580573416	10	39	nucleoside diphosphate metabolic process	BP	0.0689774721503346	1
GO:0006094	0.000384326334982786	0.999975353920127	5	10	gluconeogenesis	BP	0.0700621172459664	1
GO:0019319	0.000384326334982786	0.999975353920127	5	10	hexose biosynthetic process	BP	0.0700621172459664	1
GO:0044262	0.0004241599242456	0.999848942156387	20	103	cellular carbohydrate metabolic process	BP	0.0757978870276244	1
GO:0042060	0.000436718234105023	0.999854926343868	18	85	wound healing	BP	0.0757978870276244	1
GO:1901679	0.000443954815828673	1	3	3	nucleotide transmembrane transport	BP	0.0757978870276244	1
GO:0019318	0.000446956376745373	0.999875453488326	14	63	hexose metabolic process	BP	0.0757978870276244	1
GO:0006955	0.000452754208871499	0.999763555566951	44	332	immune response	BP	0.0757978870276244	1
GO:0006909	0.000453024869249761	0.999874894343262	14	58	phagocytosis	BP	0.0757978870276244	1
GO:0035295	0.000460603185325357	0.999702729416711	96	718	tube development	BP	0.0760244230481609	1
GO:0048856	0.000507218229409615	0.999615521525703	276	2694	anatomical structure development	BP	0.0814284176157425	1
GO:0007166	0.000516839937695055	0.999668203169749	91	730	cell surface receptor signaling pathway	BP	0.0814284176157425	1
GO:0006165	0.000517807382644105	0.999903370489315	9	33	nucleoside diphosphate phosphorylation	BP	0.0814284176157425	1
GO:0006006	0.000522757879598716	0.999880021605196	11	44	glucose metabolic process	BP	0.0814284176157425	1
GO:0006090	0.000533241972297128	0.999878209469358	11	42	pyruvate metabolic process	BP	0.0814284176157425	1
GO:0070160	0.000533344801806075	0.999879729565682	11	39	tight junction	CC	0.0814284176157425	1
GO:0032787	0.000553431121662271	0.999756025443452	28	196	monocarboxylic acid metabolic process	BP	0.0824070456789404	1
GO:0009185	0.000559024564912789	0.999895140817956	9	32	ribonucleoside diphosphate metabolic process	BP	0.0824070456789404	1
GO:0005737	0.000572005996363619	0.999555103149313	386	4880	cytoplasm	CC	0.0824070456789404	1
GO:0046425	0.000573489346873255	0.999894236164833	9	29	regulation of receptor signaling pathway via JAK-STAT	BP	0.0824070456789404	1
GO:1904892	0.000573489346873255	0.999894236164833	9	29	regulation of receptor signaling pathway via STAT	BP	0.0824070456789404	1
GO:0042063	0.000588517883502674	0.999786423918369	20	94	gliogenesis	BP	0.0835832259197867	1
GO:0005102	0.000625885380679644	0.999684729720909	38	275	signaling receptor binding	MF	0.0878685521795537	1
GO:0046939	0.000655931903281237	0.999872675990726	9	34	nucleotide phosphorylation	BP	0.0910403666667844	1
GO:2000104	0.000730497714439141	0.999945774252265	5	10	negative regulation of DNA-templated DNA replication	BP	0.099632908754237	1
GO:0065008	0.000736145500508062	0.999480632265328	142	1267	regulation of biological quality	BP	0.099632908754237	1
GO:0005996	0.000752559679039675	0.999764957118958	15	75	monosaccharide metabolic process	BP	0.099632908754237	1
GO:0004866	0.000757294681580135	0.999779137898756	13	97	endopeptidase inhibitor activity	MF	0.099632908754237	1
GO:0009791	0.000765102584263898	0.999509593776866	85	662	post-embryonic development	BP	0.099632908754237	1
GO:0048731	0.00076678347985085	0.999442557663124	175	1485	system development	BP	0.099632908754237	1
GO:1901607	0.000787909482003416	0.999839479239209	9	39	alpha-amino acid biosynthetic process	BP	0.101300278033576	1
GO:0098772	0.000853936181701905	0.999477603842362	67	618	molecular function regulator activity	MF	0.108645588784449	1
GO:0006790	0.000913912116630648	0.999617925579256	23	172	sulfur compound metabolic process	BP	0.115077552500276	1
GO:0061135	0.000933459600114272	0.999721033446933	13	99	endopeptidase regulator activity	MF	0.115610896745018	1
GO:0072527	0.000937078662007267	0.999828162990599	8	32	pyrimidine-containing compound metabolic process	BP	0.115610896745018	1
GO:0005604	0.000965880077355457	0.999838814335758	8	21	basement membrane	CC	0.117972592648196	1
GO:0140323	0.000998169486233234	0.999959716733456	4	6	solute:anion antiporter activity	MF	0.120186418190106	1
GO:0061134	0.00100368549659332	0.999681608733238	14	107	peptidase regulator activity	MF	0.120186418190106	1
GO:0007249	0.00110375944251617	0.99990984743144	5	10	I-kappaB kinase/NF-kappaB signaling	BP	0.130886580882451	1
GO:0009070	0.00113062285931017	0.999931927965663	4	9	serine family amino acid biosynthetic process	BP	0.132782957727062	1
GO:0042595	0.00116160212081713	0.999941162970499	4	7	behavioral response to starvation	BP	0.135121983844385	1
GO:0062023	0.00118518661644372	0.999700489468427	11	42	collagen-containing extracellular matrix	CC	0.136542474201426	1
GO:0070161	0.00119617199439599	0.999442350910154	29	165	anchoring junction	CC	0.136542474201426	1
GO:0032101	0.0012323202015595	0.999360927001936	37	265	regulation of response to external stimulus	BP	0.137433456751789	1
GO:0006096	0.00123773376802822	0.999768432536441	8	28	glycolytic process	BP	0.137433456751789	1
GO:0006757	0.00123773376802822	0.999768432536441	8	28	ATP generation from ADP	BP	0.137433456751789	1
GO:0016020	0.00130242731256578	0.998990364409861	280	2959	membrane	CC	0.143313938699805	1
GO:0060429	0.00131903296462514	0.999081979764806	118	967	epithelium development	BP	0.143845255624388	1
GO:0007391	0.00133409786944571	0.99946534055536	21	103	dorsal closure	BP	0.143994454122292	1
GO:0055086	0.00134397967659581	0.99929724007422	37	287	nucleobase-containing small molecule metabolic process	BP	0.143994454122292	1
GO:0009069	0.00151050810928287	0.999841166403396	5	15	serine family amino acid metabolic process	BP	0.159351123042525	1
GO:1903047	0.00151340513123734	0.999146897927255	46	342	mitotic cell cycle process	BP	0.159351123042525	1
GO:0048583	0.00157894185988904	0.998893137281537	118	1040	regulation of response to stimulus	BP	0.164830733988758	1
GO:0048513	0.00162626303644807	0.998824544553672	144	1226	animal organ development	BP	0.168332006162514	1
GO:0031430	0.00167418132771931	0.999783213709612	6	15	M band	CC	0.169337020255983	1
GO:0030708	0.0016775650442913	0.999848811035985	5	10	germarium-derived female germ-line cyst encapsulation	BP	0.169337020255983	1
GO:0048139	0.0016775650442913	0.999848811035985	5	10	female germ-line cyst encapsulation	BP	0.169337020255983	1
GO:0014013	0.00171792475904617	0.999771049665414	6	16	regulation of gliogenesis	BP	0.171989614811393	1
GO:0006206	0.00182210517939212	0.999815433646337	5	12	pyrimidine nucleobase metabolic process	BP	0.180025024430112	1
GO:0048729	0.00182766522264073	0.998802375720836	81	608	tissue morphogenesis	BP	0.180025024430112	1
GO:0034329	0.00184803478542929	0.999022554892687	37	238	cell junction assembly	BP	0.180111694931641	1
GO:1901681	0.00185803778953551	0.999490056587914	11	50	sulfur compound binding	MF	0.180111694931641	1
GO:0040012	0.00198846901762675	0.999133206381514	23	123	regulation of locomotion	BP	0.191237484892072	1
GO:0004252	0.00207068308276373	0.999104024387416	21	210	serine-type endopeptidase activity	MF	0.197588462288095	1
GO:0008284	0.00216073905177935	0.999186700124524	17	89	positive regulation of cell population proliferation	BP	0.204583463398705	1
GO:0033627	0.00237496301829892	0.999517466826571	8	25	cell adhesion mediated by integrin	BP	0.221649622456967	1
GO:0050830	0.00237868293395716	0.999466698908296	8	48	defense response to Gram-positive bacterium	BP	0.221649622456967	1
GO:0031347	0.0023954273918716	0.998829296956791	28	201	regulation of defense response	BP	0.221649622456967	1
GO:0030334	0.00241800725801508	0.999057352175294	18	87	regulation of cell migration	BP	0.222056696612001	1
GO:0005976	0.00252967587520727	0.999282405954548	11	47	polysaccharide metabolic process	BP	0.2288700825169	1
GO:0044264	0.00252967587520727	0.999282405954548	11	47	cellular polysaccharide metabolic process	BP	0.2288700825169	1
GO:0005977	0.00261305513711941	0.999311752283238	10	41	glycogen metabolic process	BP	0.22961047082573	1
GO:0006073	0.00261305513711941	0.999311752283238	10	41	cellular glucan metabolic process	BP	0.22961047082573	1
GO:0006112	0.00261305513711941	0.999311752283238	10	41	energy reserve metabolic process	BP	0.22961047082573	1
GO:0044042	0.00261305513711941	0.999311752283238	10	41	glucan metabolic process	BP	0.22961047082573	1
GO:0008652	0.00267071665389309	0.999337675236424	9	44	cellular amino acid biosynthetic process	BP	0.233000951504644	1
GO:1901135	0.0027492511143539	0.998297886483135	57	507	carbohydrate derivative metabolic process	BP	0.23815144050155	1
GO:0042381	0.00277861436508703	0.99979944163503	4	8	hemolymph coagulation	BP	0.238999970811077	1
GO:0030335	0.00281756184089951	0.999043710050405	14	61	positive regulation of cell migration	BP	0.2406552470262	1
GO:0005506	0.0029052333406541	0.998697127072971	22	156	iron ion binding	MF	0.245417652753199	1
GO:0002831	0.00291350578428146	0.998574985415332	27	196	regulation of response to biotic stimulus	BP	0.245417652753199	1
GO:0048638	0.00295527158185112	0.998388856199611	37	244	regulation of developmental growth	BP	0.246509590619689	1
GO:0006275	0.00296683394638073	0.999263557019558	9	39	regulation of DNA replication	BP	0.246509590619689	1
GO:0043111	0.00312625125280054	0.999920777132872	3	4	replication fork arrest	BP	0.258000221633148	1
GO:0006563	0.003181150372234	0.999881825580197	3	5	L-serine metabolic process	BP	0.259665759132975	1
GO:0046426	0.00322117358675663	0.999493225267689	6	18	negative regulation of receptor signaling pathway via JAK-STAT	BP	0.259665759132975	1
GO:1904893	0.00322117358675663	0.999493225267689	6	18	negative regulation of receptor signaling pathway via STAT	BP	0.259665759132975	1
GO:0072529	0.00324014378605209	0.999584971470396	5	16	pyrimidine-containing compound catabolic process	BP	0.259665759132975	1
GO:0004857	0.0032654837355252	0.998723165974964	16	134	enzyme inhibitor activity	MF	0.259665759132975	1
GO:0005979	0.00331651043267922	0.999914105749256	3	4	regulation of glycogen biosynthetic process	BP	0.259665759132975	1
GO:0010962	0.00331651043267922	0.999914105749256	3	4	regulation of glucan biosynthetic process	BP	0.259665759132975	1
GO:0032885	0.00331651043267922	0.999914105749256	3	4	regulation of polysaccharide biosynthetic process	BP	0.259665759132975	1
GO:2000145	0.00336321327689843	0.99864070733518	18	91	regulation of cell motility	BP	0.260981013101091	1
GO:0048585	0.00337621653233658	0.997912035618322	55	443	negative regulation of response to stimulus	BP	0.260981013101091	1
GO:0007498	0.00339741125618744	0.998617476186432	18	98	mesoderm development	BP	0.260981013101091	1
GO:0021782	0.00342682980660756	0.999152154449462	9	33	glial cell development	BP	0.261049129991265	1
GO:0048640	0.00346165157131355	0.998596936066107	18	91	negative regulation of developmental growth	BP	0.261049129991265	1
GO:0016671	0.00346241682156419	0.999815861279894	3	8	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	MF	0.261049129991265	1
GO:0019320	0.0035337886135208	0.999691642311577	4	10	hexose catabolic process	BP	0.264599628349026	1
GO:0035633	0.00355283601189129	1	2	2	maintenance of blood-brain barrier	BP	0.264599628349026	1
GO:0097574	0.00365811300963419	0.999742990303912	4	7	lateral part of cell	CC	0.269998326596316	1
GO:0044275	0.00371878419641375	0.999149703777415	8	31	cellular carbohydrate catabolic process	BP	0.269998326596316	1
GO:0007444	0.00375686197396844	0.99750187153671	75	572	imaginal disc development	BP	0.269998326596316	1
GO:0006573	0.00375967351264523	0.999851547122774	3	5	valine metabolic process	BP	0.269998326596316	1
GO:0009141	0.0037812467673389	0.998754704879251	12	74	nucleoside triphosphate metabolic process	BP	0.269998326596316	1
GO:0007259	0.00379302940518568	0.999033043440333	9	36	receptor signaling pathway via JAK-STAT	BP	0.269998326596316	1
GO:0097696	0.00379302940518568	0.999033043440333	9	36	receptor signaling pathway via STAT	BP	0.269998326596316	1
GO:0009653	0.00380217063816656	0.997114184351505	173	1540	anatomical structure morphogenesis	BP	0.269998326596316	1
GO:0008289	0.0038433531540985	0.998004765167914	30	218	lipid binding	MF	0.270380689801896	1
GO:0007599	0.0038739659992903	0.99966990738294	4	9	hemostasis	BP	0.270380689801896	1
GO:0050817	0.0038739659992903	0.99966990738294	4	9	coagulation	BP	0.270380689801896	1
GO:0048584	0.00393275618283725	0.997452128878555	65	533	positive regulation of response to stimulus	BP	0.272458956191824	1
GO:0008106	0.00394835723317118	0.999454612838247	5	18	alcohol dehydrogenase (NADP+) activity	MF	0.272458956191824	1
GO:0000828	0.00397730085164105	0.999889825090194	3	4	inositol hexakisphosphate kinase activity	MF	0.272914340460358	1
GO:0040008	0.00403185137220747	0.997620128474509	45	317	regulation of growth	BP	0.27511191430247	1
GO:0016331	0.00407339027951137	0.998147506426081	22	120	morphogenesis of embryonic epithelium	BP	0.276402160410844	1
GO:1901018	0.00417113757262118	0.99941621723245	5	18	positive regulation of potassium ion transmembrane transporter activity	BP	0.280987499487577	1
GO:2000147	0.00418697600349919	0.998501852803781	14	65	positive regulation of cell motility	BP	0.280987499487577	1
GO:0043296	0.0042400777018482	0.998620786529796	12	55	apical junction complex	CC	0.281077854562206	1
GO:0015399	0.00425960470004651	0.998159990966136	19	123	primary active transmembrane transporter activity	MF	0.281077854562206	1
GO:0071944	0.00426837082302114	0.996711024356113	191	1868	cell periphery	CC	0.281077854562206	1
GO:0002009	0.00430994893037584	0.997101648905205	77	589	morphogenesis of an epithelium	BP	0.281077854562206	1
GO:0015453	0.00432838918350595	0.99919573159487	6	32	oxidoreduction-driven active transmembrane transporter activity	MF	0.281077854562206	1
GO:0015748	0.00437410354168756	0.998961674587033	8	33	organophosphate ester transport	BP	0.281077854562206	1
GO:0008340	0.00448419252840233	0.997803486647825	25	173	determination of adult lifespan	BP	0.281077854562206	1
GO:0005471	0.00449295551122713	1	2	2	ATP:ADP antiporter activity	MF	0.281077854562206	1
GO:0015866	0.00449295551122713	1	2	2	ADP transport	BP	0.281077854562206	1
GO:0015867	0.00449295551122713	1	2	2	ATP transport	BP	0.281077854562206	1
GO:0072530	0.00449295551122713	1	2	2	purine-containing compound transmembrane transport	BP	0.281077854562206	1
GO:0140021	0.00449295551122713	1	2	2	mitochondrial ADP transmembrane transport	BP	0.281077854562206	1
GO:1990544	0.00449295551122713	1	2	2	mitochondrial ATP transmembrane transport	BP	0.281077854562206	1
GO:0048138	0.00451050102294026	0.999227508461004	6	19	germ-line cyst encapsulation	BP	0.281077854562206	1
GO:0044380	0.00455164553140039	0.999378578984051	5	15	protein localization to cytoskeleton	BP	0.282202022946824	1
GO:0055085	0.00461584497890812	0.996860870350615	79	705	transmembrane transport	BP	0.284737023092847	1
GO:0060251	0.00469986300238622	0.999382918125299	5	13	regulation of glial cell proliferation	BP	0.287767930181045	1
GO:0045499	0.00471209972459546	0.999860955614905	3	4	chemorepellent activity	MF	0.287767930181045	1
GO:0043062	0.00473740427075559	0.998127828014902	16	84	extracellular structure organization	BP	0.2878739092687	1
GO:0022857	0.00483998148042414	0.996649450032248	86	778	transmembrane transporter activity	MF	0.292103556329701	1
GO:0034330	0.00486983667465634	0.996980001653856	52	382	cell junction organization	BP	0.292103556329701	1
GO:0006022	0.00487875597603234	0.998562071406587	10	49	aminoglycan metabolic process	BP	0.292103556329701	1
GO:0009620	0.00490999473375206	0.998331373123141	12	72	response to fungus	BP	0.29253988135633	1
GO:0035009	0.00495100149876081	0.999783668246955	3	5	negative regulation of melanization defense response	BP	0.293546547357149	1
GO:0002682	0.00497495786007286	0.997253812399907	34	256	regulation of immune system process	BP	0.293546547357149	1
GO:0002697	0.00508801384361882	0.998104673086953	14	79	regulation of immune effector process	BP	0.297897418828407	1
GO:0061343	0.00511723043857355	0.999335446977905	5	12	cell adhesion involved in heart morphogenesis	BP	0.297897418828407	1
GO:0044770	0.00513582158038532	0.997500830835469	24	160	cell cycle phase transition	BP	0.297897418828407	1
GO:0006779	0.00519503440399956	0.99943506372885	4	14	porphyrin-containing compound biosynthetic process	BP	0.297897418828407	1
GO:0006783	0.00519503440399956	0.99943506372885	4	14	heme biosynthetic process	BP	0.297897418828407	1
GO:0033014	0.00519503440399956	0.99943506372885	4	14	tetrapyrrole biosynthetic process	BP	0.297897418828407	1
GO:0043255	0.00526208470080836	0.99976482891411	3	5	regulation of carbohydrate biosynthetic process	BP	0.300332254839595	1
GO:0031667	0.00536600423133235	0.997294931270699	26	177	response to nutrient levels	BP	0.304838956658109	1
GO:0032535	0.00547238787039092	0.997207146145157	27	172	regulation of cellular component size	BP	0.309443265967383	1
GO:0099081	0.00554855560784891	0.996986813132384	32	215	supramolecular polymer	CC	0.312304415641781	1
GO:0009987	0.00564067676811469	0.99551903903873	673	8641	cellular process	BP	0.314647614670431	1
GO:0007507	0.00571349741689307	0.997485859596766	19	105	heart development	BP	0.314647614670431	1
GO:0072359	0.00571349741689307	0.997485859596766	19	105	circulatory system development	BP	0.314647614670431	1
GO:0008156	0.00571468981378846	0.999160675852632	5	16	negative regulation of DNA replication	BP	0.314647614670431	1
GO:0045471	0.00571899217756965	0.997864409877907	14	69	response to ethanol	BP	0.314647614670431	1
GO:0045087	0.00575792396703464	0.997029514608831	27	200	innate immune response	BP	0.315368983557673	1
GO:1990255	0.00589604926073966	0.999725120751123	3	5	subsynaptic reticulum organization	BP	0.318167351951765	1
GO:0098656	0.00590880010495975	0.997669434398783	15	87	anion transmembrane transport	BP	0.318167351951765	1
GO:0015980	0.00591516296805361	0.997263349653507	20	176	energy derivation by oxidation of organic compounds	BP	0.318167351951765	1
GO:0044282	0.00593531043379516	0.997156361446115	22	170	small molecule catabolic process	BP	0.318167351951765	1
GO:1901658	0.00593926283322436	0.998868113828603	6	24	glycosyl compound catabolic process	BP	0.318167351951765	1
GO:0004033	0.00605904900945298	0.999061425892628	5	19	aldo-keto reductase (NADP) activity	MF	0.323166919657025	1
GO:1902669	0.00609680455317465	0.999146583412192	5	13	positive regulation of axon guidance	BP	0.323766829619457	1
GO:0031349	0.00619049927625359	0.997294068676385	18	117	positive regulation of defense response	BP	0.326640231458874	1
GO:0009991	0.00626170730628143	0.996802016253779	26	179	response to extracellular stimulus	BP	0.326640231458874	1
GO:0010559	0.00630246070842131	0.999698778682982	3	5	regulation of glycoprotein biosynthetic process	BP	0.326640231458874	1
GO:1903018	0.00630246070842131	0.999698778682982	3	5	regulation of glycoprotein metabolic process	BP	0.326640231458874	1
GO:1901016	0.00633806544879494	0.999007366932982	5	19	regulation of potassium ion transmembrane transporter activity	BP	0.326640231458874	1
GO:0043268	0.00633811485637409	0.999007357305961	5	19	positive regulation of potassium ion transport	BP	0.326640231458874	1
GO:1901381	0.00633811485637409	0.999007357305961	5	19	positive regulation of potassium ion transmembrane transport	BP	0.326640231458874	1
GO:0006778	0.00640620759185582	0.999248047104131	4	15	porphyrin-containing compound metabolic process	BP	0.327258205660084	1
GO:0042168	0.00640620759185582	0.999248047104131	4	15	heme metabolic process	BP	0.327258205660084	1
GO:0008084	0.00643048709336991	0.999634438902647	3	6	imaginal disc growth factor receptor binding	MF	0.327258205660084	1
GO:0010033	0.00666622850370927	0.995498802573448	70	609	response to organic substance	BP	0.332924574920922	1
GO:0015711	0.00667693814640076	0.997143613927696	17	106	organic anion transport	BP	0.332924574920922	1
GO:0015154	0.0066900900184979	0.999673036753784	3	5	disaccharide transmembrane transporter activity	MF	0.332924574920922	1
GO:0015157	0.0066900900184979	0.999673036753784	3	5	oligosaccharide transmembrane transporter activity	MF	0.332924574920922	1
GO:0050660	0.00669733589110233	0.997530722370834	13	72	flavin adenine dinucleotide binding	MF	0.332924574920922	1
GO:0007277	0.00673029869970092	0.998304346817066	8	30	pole cell development	BP	0.332924574920922	1
GO:0004152	0.00673723740641413	1	2	2	dihydroorotate dehydrogenase activity	MF	0.332924574920922	1
GO:0009792	0.00678640279906935	0.996433557355308	28	176	embryo development ending in birth or egg hatching	BP	0.332924574920922	1
GO:0006820	0.00678714746645732	0.996509021418221	26	181	anion transport	BP	0.332924574920922	1
GO:0008037	0.00696874117443587	0.996672290606576	22	121	cell recognition	BP	0.334510550828231	1
GO:0004867	0.00702049758825064	0.997879400444971	9	80	serine-type endopeptidase inhibitor activity	MF	0.334510550828231	1
GO:0050920	0.00704239326915443	0.998211478492175	8	30	regulation of chemotaxis	BP	0.334510550828231	1
GO:0071526	0.00708293683987265	0.999328148615314	4	8	semaphorin-plexin signaling pathway	BP	0.334510550828231	1
GO:0051444	0.00708629099873627	1	2	2	negative regulation of ubiquitin-protein transferase activity	BP	0.334510550828231	1
GO:1904667	0.00708629099873627	1	2	2	negative regulation of ubiquitin protein ligase activity	BP	0.334510550828231	1
GO:0009199	0.00709405662810438	0.997594349737389	11	69	ribonucleoside triphosphate metabolic process	BP	0.334510550828231	1
GO:1901657	0.00709477851020303	0.998113028684691	8	42	glycosyl compound metabolic process	BP	0.334510550828231	1
GO:1904776	0.00711706028755648	1	2	2	regulation of protein localization to cell cortex	BP	0.334510550828231	1
GO:0016799	0.00711726643197732	0.999168166787079	4	13	hydrolase activity, hydrolyzing N-glycosyl compounds	MF	0.334510550828231	1
GO:0006040	0.0071305514341856	0.998142551115116	8	35	amino sugar metabolic process	BP	0.334510550828231	1
GO:0048478	0.00714812950435306	0.99957735741356	3	6	replication fork protection	BP	0.334510550828231	1
